4.1.2022;791270859;7,12,4;0;0:0:0
FFFF00_N/0,0,0|00FF00_N/1,0,0|FF00FF_N/2,0,0|00FFFF_N/3,0,0|00FFFF_N/4,0,0|00FF00_N/5,0,0|0000FF_N/6,0,0
0000FF_N/0,2,3|FF00FF_N/1,2,3|00FFFF_N/2,2,3|00FFFF_N/3,2,3|FFFF00_N/4,2,3|00FFFF_N/5,2,3|FF00FF_N/6,2,3
0000FF_N/0,3,3|0000FF_N/1,3,3|FF00FF_N/2,3,3|0000FF_N/3,3,3|FFFF00_N/4,3,3|00FF00_N/5,3,3|FF00FF_N/6,3,3
00FFFF_N/0,4,3|00FFFF_N/1,4,3|00FF00_N/2,4,3|FFFF00_N/3,4,3|0000FF_N/4,4,3|00FF00_N/5,4,3|FFFF00_N/6,4,3
0000FF_N/0,5,3|FF00FF_N/1,5,3|FF0000_N/2,5,3|00FF00_N/3,5,3|0000FF_N/4,5,3|FF00FF_N/5,5,3|FFFF00_N/6,5,3
00FFFF_N/0,6,3|00FFFF_N/1,6,3|00FF00_N/2,6,3|FFFF00_N/3,6,3|FFFF00_N/4,6,3|FF0000_N/5,6,3|00FFFF_N/6,6,3
FFFF00_N/0,7,3|FFFF00_N/1,7,3|0000FF_N/2,7,3|FF0000_N/3,7,3|0000FF_N/4,7,3|0000FF_N/5,7,3|FFFF00_N/6,7,3
00FF00_N/0,8,3|FF0000_N/1,8,3|FF00FF_N/2,8,3|00FF00_N/3,8,3|FF0000_N/4,8,3|0000FF_N/5,8,3|FF0000_N/6,8,3
FF0000_N/0,9,3|00FF00_N/1,9,3|0000FF_N/2,9,3|FFFF00_N/3,9,3|FF0000_N/4,9,3|00FFFF_N/5,9,3|FF0000_N/6,9,3
00FF00_N/0,10,3|00FF00_N/1,10,3|00FFFF_N/2,10,3|00FF00_N/3,10,3|00FFFF_N/4,10,3|0000FF_N/5,10,3|FF00FF_N/6,10,3
FF00FF_N/0,11,3|00FFFF_N/1,11,3|FF0000_N/2,11,3|00FF00_N/3,11,3|0000FF_N/4,11,3|FF00FF_N/5,11,3|00FFFF_N/6,11,3
